"Date","Price","Open","High","Low","Vol.","Change %"
"11/18/2016","5.93","5.91","6.03","5.85","257.94M","-0.50%"
"11/17/2016","5.96","5.64","6.08","5.61","442.32M","4.38%"
"11/16/2016","5.71","5.43","5.80","5.32","386.81M","5.35%"
"11/15/2016","5.42","5.50","5.53","5.38","186.27M","-2.34%"
"11/14/2016","5.55","5.49","5.67","5.32","396.77M","4.72%"
"11/11/2016","5.30","5.19","5.37","5.14","214.75M","1.53%"
"11/10/2016","5.22","5.24","5.29","5.17","122.14M","0.77%"
"11/09/2016","5.18","5.30","5.33","5.10","184.51M","-2.45%"
"11/08/2016","5.31","5.40","5.42","5.28","158.40M","-1.12%"
"11/07/2016","5.37","5.35","5.44","5.27","181.41M","-0.56%"
"11/04/2016","5.40","5.25","5.65","5.23","414.02M","2.47%"
"11/03/2016","5.27","5.18","5.31","5.05","329.06M","3.54%"
"11/02/2016","5.09","5.17","5.18","5.07","132.33M","-1.93%"
"11/01/2016","5.19","5.13","5.26","5.11","155.06M","0.97%"
"10/31/2016","5.14","5.12","5.16","5.10","95.82M","0.19%"
"10/28/2016","5.13","5.17","5.24","5.12","139.43M","-1.16%"
"10/27/2016","5.19","5.30","5.32","5.15","191.89M","-2.63%"
"10/26/2016","5.33","5.23","5.36","5.19","248.26M","0.95%"
"10/25/2016","5.28","5.33","5.36","5.18","243.16M","-0.94%"
"10/24/2016","5.33","5.36","5.41","5.26","205.88M","-0.37%"
"10/21/2016","5.35","5.25","5.45","5.22","242.43M","0.94%"
"10/20/2016","5.30","5.26","5.41","5.22","241.42M","0.00%"
"10/19/2016","5.30","5.12","5.59","5.10","450.71M","3.72%"
"10/18/2016","5.11","5.02","5.24","4.98","283.73M","0.99%"
"10/17/2016","5.06","5.03","5.25","5.00","378.84M","-1.94%"
"10/14/2016","5.16","4.71","5.19","4.66","528.33M","9.32%"
"10/13/2016","4.72","4.71","4.80","4.66","198.20M","-0.21%"
"10/12/2016","4.73","4.90","4.93","4.68","393.86M","-1.46%"
"10/11/2016","4.80","4.35","4.80","4.32","461.73M","10.34%"
"10/10/2016","4.35","4.31","4.38","4.26","186.84M","4.57%"
"09/30/2016","4.16","4.16","4.22","4.14","28.43M","-0.24%"
"09/29/2016","4.17","4.17","4.22","4.16","25.25M","-0.24%"
"09/28/2016","4.18","4.13","4.20","4.11","45.97M","1.21%"
"09/27/2016","4.13","4.08","4.14","4.08","24.40M","0.49%"
"09/26/2016","4.11","4.18","4.18","4.09","42.95M","-1.91%"
"09/23/2016","4.19","4.12","4.22","4.12","83.51M","2.20%"
"09/22/2016","4.10","4.10","4.13","4.09","33.72M","0.24%"
"09/21/2016","4.09","4.08","4.11","4.07","28.63M","0.00%"
"09/20/2016","4.09","4.11","4.11","4.06","29.58M","-0.49%"
